haversine_km,euclidean_km,absolute_difference_km,percent_error
62.04801637911383,62.04777115863319,0.00024522048064312685,0.0003952108301816257
62.44832612110167,62.448076123735994,0.00024999736567821174,0.00040032676807607193
62.8486358630895,62.84838102720254,0.00025483588695607295,0.0004054756057254952
63.248945605077324,63.24868586863774,0.00025973643958110415,0.0004106573431324581
63.64925534706516,63.648990647646485,0.0002646994186719098,0.0004158719803217855
64.04956508905299,64.0492953638337,0.00026972521928314563,0.0004211195172178392
64.44987483104082,64.44960001680425,0.0002748142365618378,0.0004263999538901816
64.85018457302864,64.84990460616307,0.0002799668655768528,0.0004317132902861339
65.25049431501648,65.25020913151504,0.00028518350144679516,0.0004370595264305365
65.65080405700432,65.65051359246503,0.0002904645392902694,0.00044243866234762366
66.05111379899215,66.05081798861798,0.00029581037416903655,0.0004478506979749829
66.45142354097999,66.4511223195788,0.0003012214011874903,0.0004532956333158609
66.85173328296781,66.85142658495234,0.000306698015478446,0.00045877346841594177
67.25204302495564,67.25173078434352,0.00031224061211787557,0.00046428420323529874
67.65235276694347,67.65203491735727,0.0003178495861959618,0.0004698278377559555
68.0526625089313,68.05233898359847,0.00032352533283130924,0.00047540437200212324
68.45297225091913,68.452642982672,0.0003292682471283115,0.0004810138059766869
68.85328199290696,68.85294691418278,0.00033507872417715134,0.00048665613966182477
69.2535917348948,69.25325077773573,0.0003409571590680116,0.0004923313730401273
69.65390147688262,69.6535545729357,0.0003469039469194968,0.0004980395061353892
70.05421121887045,70.05385829938761,0.0003529194828360005,0.0005037805389505761
70.45452096085829,70.4541619566964,0.0003590041618934947,0.0005095544714482454
70.85483070284612,70.85446554446692,0.00036515837919637306,0.0005153613036319135
71.25514044483396,71.25476906230409,0.00037138252986324005,0.0005212010355249612
71.65545018682178,71.65507250981281,0.0003776770089700676,0.0005270736670907506
72.05575992880962,72.05537588659799,0.00038404221163546026,0.0005329791983526232
72.45606967079745,72.45567919226448,0.00039047853296381163,0.0005389176293137928
72.85637941278527,72.85598242641727,0.00039698636800267195,0.0005448889598993804
73.25668915477311,73.25628558866119,0.00040356611192748915,0.0005508931902107324
73.65699889676094,73.65658867860115,0.00041021815978581344,0.0005569303201733525
74.05730863874876,74.05689169584207,0.00041694290669624934,0.0005630003498103003
74.4576183807366,74.45719463998886,0.00042374074774897963,0.0005691032791059676
74.85792812272443,74.8574975106464,0.0004306120780341871,0.00057523910804508
75.25823786471226,75.25780030741957,0.0004375572926846871,0.0005814078366693366
75.6585476067001,75.65810302991333,0.00044457678676224077,0.0005876094649256397
76.05885734868792,76.05840567773254,0.00045167095538545254,0.0005938439928367451
76.45916709067575,76.4587082504821,0.00045884019364450523,0.0006001114203877604
76.85947683266359,76.85901074776692,0.0004660848966722142,0.0006064117476195706
77.25978657465143,77.25931316919191,0.00047340545951612967,0.0006127449744618526
77.66009631663925,77.65961551436197,0.0004808022772806453,0.0006191111009189282
78.06040605862708,78.05991778288198,0.0004882757450985764,0.0006255101270314404
78.46071580061492,78.46021997435687,0.000495826258045895,0.0006319420527667542
